iter	R2	RMSE
0	0.1080457549	87747.82255
1	0.1906204638	83587.46797
2	0.2571957886	80075.9756
3	0.3183165087	76710.78874
4	0.3708100982	73698.03896
5	0.4146899066	71081.74267
6	0.4526628638	68737.30769
7	0.4893271828	66395.16133
8	0.5173360557	64548.69831
9	0.5454757691	62638.82179
10	0.5660886879	61201.99036
11	0.5849616339	59856.20555
12	0.6031468056	58530.19892
13	0.6162162078	57558.35518
14	0.6290664945	56586.53376
15	0.6401410264	55735.41361
16	0.6511748712	54874.29346
17	0.6600460769	54172.02729
18	0.6690029384	53453.62088
19	0.6776015526	52754.74532
20	0.6838773586	52238.76018
21	0.6907344704	51669.09065
22	0.6957983404	51244.33356
23	0.7004801469	50848.46733
24	0.7053259725	50435.46037
25	0.7096200511	50066.63142
26	0.7136062961	49721.79436
27	0.7184144923	49302.64393
28	0.7229785762	48901.45018
29	0.7268399152	48559.44108
30	0.7299401027	48283.09588
31	0.7329295385	48015.11665
32	0.7360913112	47730.05166
33	0.7383226719	47527.84339
34	0.741025821	47281.72279
35	0.7442955	46982.29694
36	0.7466275465	46767.56499
37	0.7491126086	46537.65309
38	0.7511088539	46352.13937
39	0.7538690468	46094.40111
40	0.7553136113	45958.93598
41	0.7577613623	45728.48019
42	0.7595097846	45563.15254
43	0.7614470295	45379.26677
44	0.7625268279	45276.44676
45	0.7647498893	45064.02489
46	0.765881722	44955.48842
47	0.7669415787	44853.61594
48	0.7684393454	44709.25614
49	0.7707262981	44487.92824
50	0.7720611955	44358.22842
51	0.773689272	44199.52791
52	0.7749582509	44075.435
53	0.7760731761	43966.11788
54	0.7774341461	43832.30684
55	0.7785385984	43723.41571
56	0.779958261	43583.04746
57	0.7821438927	43366.05633
58	0.7833480847	43246.03807
59	0.7843662281	43144.30225
60	0.7858998993	42990.59894
61	0.7864237576	42937.97221
62	0.7878186283	42797.52815
63	0.78950403	42627.21433
64	0.7911421755	42461.02121
65	0.7921259003	42360.90702
66	0.7928850586	42283.48504
67	0.7941722542	42151.88675
68	0.7947091789	42096.87189
69	0.7955185366	42013.80663
70	0.7963669372	41926.55767
71	0.797052325	41855.94003
72	0.7984009716	41716.63574
73	0.7991441451	41639.67276
74	0.7998154394	41570.0311
75	0.800949872	41452.07646
76	0.8014372493	41401.29733
77	0.8020687517	41335.40924
78	0.8031456113	41222.81171
79	0.8041516124	41117.34464
80	0.8050584106	41022.04543
81	0.8065381617	40866.05498
82	0.8078527843	40726.97066
83	0.8084073175	40668.15957
84	0.8087480607	40631.97978
85	0.8093898956	40563.74272
86	0.8102001012	40477.44098
87	0.8109151869	40401.11809
88	0.8119926122	40285.84872
89	0.8127559457	40203.98275
90	0.813866462	40084.58357
91	0.8149223194	39970.73037
92	0.8157283111	39883.60147
93	0.8164798276	39802.1896
94	0.8172383647	39719.84798
95	0.8180608663	39630.36946
96	0.818190603	39616.23718
97	0.8188572481	39543.53956
98	0.8196964675	39451.83223
99	0.8204314072	39371.34484
100	0.8215202099	39251.80053
101	0.8221897543	39178.10726
102	0.8230374875	39084.60235
103	0.8241032267	38966.73305
104	0.8246637719	38904.5942
105	0.8252984692	38834.11524
106	0.8260198376	38753.85641
107	0.8265754683	38691.92392
108	0.8272874816	38612.41528
109	0.8279759498	38535.37985
110	0.8290087917	38419.5214
111	0.8294151327	38373.84446
112	0.830462215	38255.8902
113	0.8310305193	38191.71797
114	0.8320408038	38077.37084
115	0.8328012644	37991.07253
116	0.8335630847	37904.42291
117	0.8344188636	37806.84958
118	0.8352172288	37715.59478
119	0.8362425986	37598.06799
120	0.8367808253	37536.22975
121	0.8371713494	37491.29759
122	0.8377004293	37430.33771
123	0.8386021096	37326.21789
124	0.8392432723	37252.0038
125	0.8399342236	37171.86084
126	0.840289458	37130.59013
127	0.8414386272	36996.76564
128	0.8424452379	36879.14357
129	0.8429562639	36819.28658
130	0.8433860062	36768.875
131	0.844035808	36692.51747
132	0.8445956652	36626.60158
133	0.8447341997	36610.27263
134	0.8453045372	36542.97055
135	0.8462490854	36431.23668
136	0.84685464	36359.4229
137	0.8473710484	36298.06888
138	0.8477668457	36250.97427
139	0.8483126369	36185.93184
140	0.8487659615	36131.81972
141	0.8495156841	36042.14911
142	0.8500455795	35978.63615
143	0.850555464	35917.41564
144	0.8506624489	35904.55699
145	0.8512590516	35832.76597
146	0.8513722077	35819.13332
147	0.8516354902	35787.39386
148	0.8527143067	35657.04438
149	0.8530167891	35620.41092
150	0.8534180723	35571.75351
151	0.853953045	35506.78196
152	0.8544213219	35449.81276
153	0.8545894989	35429.33049
154	0.8552252856	35351.79078
155	0.8557295158	35290.1744
156	0.8561415848	35239.74002
157	0.8562491235	35226.56614
158	0.8566887753	35172.65592
159	0.8570054006	35133.78001
160	0.8576685865	35052.21291
161	0.8582434495	34981.35503
162	0.8588336974	34908.45114
