Id;DistrictId;Rooms;Square;LifeSquare;KitchenSquare;Floor;HouseFloor;HouseYear;Ecology_1;Social_1;Social_2;Social_3;Healthcare_1;Helthcare_2;Shops_1;free_square;count_rooms_on_the_floor;Shops_A;Shops_B;Ecology_2_A;Ecology_2_B;Ecology_3_A;Ecology_3_B;Price
14038;35;2;-0.49237227;-0.43541652;0.08414686;7;9;1969;-0.25052908;33;7976;5;0.5355532;0;11;-0.16691183;3;-0.29986376;0.29986376;-0.09896976;0.09896976;-0.16815954;0.16815954;184966.94
15053;41;3;0.4863047;0.3808598;0.6007021;7;9;1978;-0.99805254;46;10309;1;-1.966435;1;16;0.537514;2;-0.29986376;0.29986376;-0.09896976;0.09896976;-0.16815954;0.16815954;300009.44
4765;53;2;-0.66008824;-0.454282;-1.465519;8;12;1968;-0.58158845;34;7759;0;-1.9969164;1;3;0.27708375;4;-0.29986376;0.29986376;-0.09896976;0.09896976;-0.16815954;0.16815954;220925.9
5809;58;2;0.9103119;1.3568374;0.85897976;8;17;1977;2.6804702;23;5735;3;0.37232646;0;5;-0.29373464;4;-0.29986376;0.29986376;-0.09896976;0.09896976;-0.16815954;0.16815954;175616.23
10783;99;1;-0.9530354;-0.87150484;0.34242448;11;12;1976;-0.89496934;35;5776;1;0.5355532;2;4;-0.6737087;11;-0.29986376;0.29986376;-0.09896976;0.09896976;-0.16815954;0.16815954;150226.53
12915;59;3;1.299055;0.8914122;1.6338127;5;17;2011;1.6016023;35;7715;4;0.11184832;0;6;1.0997318;1;-0.29986376;0.29986376;-0.09896976;0.09896976;-0.16815954;0.16815954;215898.45
14549;154;2;0.29669988;0.15851578;0.34242448;3;5;1960;2.870953;20;4386;14;0.5355532;1;5;0.6010592;1;-0.29986376;0.29986376;-0.09896976;0.09896976;-0.16815954;0.16815954;296021.22
11993;74;2;1.2950994;-0.17849179;-1.465519;14;17;1977;-0.3619477;6;1437;3;0.5355532;0;2;-0.1344474;7;-0.29986376;0.29986376;-0.09896976;0.09896976;-0.16815954;0.16815954;221244.16
5172;1;2;0.4214983;-0.17849179;-1.2072413;9;17;1977;-0.9387989;1;264;0;0.5355532;0;1;2.3480527;4;-0.29986376;0.29986376;-0.09896976;0.09896976;-0.16815954;0.16815954;229102.8
8649;23;1;-0.57641524;-1.2455677;0.6007021;13;17;2014;-0.3619477;6;1437;3;0.5355532;0;2;0.8018154;13;-0.29986376;0.29986376;-0.09896976;0.09896976;-0.16815954;0.16815954;95380.22
